id;business_name;line_address_1;line_address_2;city;county;postcode;country;business_email;phone_number;logo_url
1;Consultant;Bike Burkina Faso Somali Shilling;Developer Manager;New Joport;Electronics Lodge channels;Facilitator Brand;Isle of Man;;+447867483465;
2;panel Generic Frozen Chicken;clear-thinking Bacon Rustic;overriding;West Ceciliaberg;Practical Rubber Chicken overriding Intelligent;internet solution Specialist Identity;Afghanistan;;447846561332;
3;Human deposit Dynamic;Unbranded;gold;Alvinafort;Shoes;pricing structure hybrid SMTP;Canada;;447846561332;
4;quantify orange invoice;web services Senior;models array Minnesota;North Nakia;hacking;human-resource Small Soft Towels;Anguilla;;447846561332;
5;Glens bandwidth;Uzbekistan Business-focused;bypass;North Tomasa;Table;Sleek Walk;India;;447846561332;
6;zero tolerance;Village;visionary static Accountability;Lake Osvaldoshire;Research enable Engineer;collaboration system Incredible Cotton Table;Morocco;;447846561332;
7;Cambridgeshire overriding;azure Investment Account object-oriented;bypassing parsing Mountain;New Arvid;input;Reactive Concrete;Belarus;;447846561332;
8;silver olive;Shoes Automotive SMTP;Handcrafted Rubber Shirt Borders;Manntown;Front-line invoice parse;project;Tunisia;;447846561332;
9;Assistant Practical compress;grey;deposit Terrace PNG;Hilmamouth;protocol cohesive;Chair Principal;Nepal;;447846561332;
10;lime back-end copying;web services;Sleek;North Casper;Home Multi-layered Data;quantify Refined Steel Hat;Ghana;;447846561332;
